No,Timestamp,RSSI No.1,RSSI No.2,Battery Voltage,Firmware Version
81,2021-07-09T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
82,2021-07-09T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
83,2021-07-09T23:00:00.000Z,-137,-137,4080,"rel.5.1h
"
84,2021-07-10T00:00:00.000Z,-137,-137,4080,"rel.5.1h
"
85,2021-07-10T01:00:00.000Z,-137,-137,4080,"rel.5.1h
"
86,2021-07-10T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
87,2021-07-10T03:00:00.000Z,-137,-137,4062,"rel.5.1h
"
88,2021-07-10T04:00:00.000Z,-137,-137,4080,"rel.5.1h
"
89,2021-07-10T05:00:00.000Z,-58,-137,4064,"rel.5.1h
"
90,2021-07-10T07:00:00.000Z,-56,-137,4070,"rel.5.1h
"
91,2021-07-10T08:00:00.000Z,-59,-137,4064,"rel.5.1h
"
92,2021-07-10T13:00:00.000Z,-137,-137,4062,"rel.5.1h
"
93,2021-07-10T17:00:00.000Z,-137,-137,4072,"rel.5.1h
"
94,2021-07-10T20:00:00.000Z,-137,-137,4064,"rel.5.1h
"
95,2021-07-10T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
96,2021-07-11T00:00:00.000Z,-137,-137,4080,"rel.5.1h
"
97,2021-07-11T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
98,2021-07-11T03:00:00.000Z,-137,-137,4080,"rel.5.1h
"
99,2021-07-11T08:00:00.000Z,-57,-137,4080,"rel.5.1h
"
100,2021-07-11T10:00:00.000Z,-57,-137,4062,"rel.5.1h
"
101,2021-07-11T14:00:00.000Z,-56,-137,4064,"rel.5.1h
"
102,2021-07-11T15:00:00.000Z,-56,-137,4064,"rel.5.1h
"
103,2021-07-11T16:00:00.000Z,-57,-137,4062,"rel.5.1h
"
104,2021-07-11T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
105,2021-07-11T18:00:00.000Z,-137,-137,4064,"rel.5.1h
"
106,2021-07-11T19:00:00.000Z,-137,-137,4080,"rel.5.1h
"
107,2021-07-11T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
108,2021-07-11T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
109,2021-07-11T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
110,2021-07-11T23:00:00.000Z,-137,-137,4062,"rel.5.1h
"
111,2021-07-12T00:00:00.000Z,-137,-137,4062,"rel.5.1h
"
112,2021-07-12T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
113,2021-07-12T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
114,2021-07-12T03:00:00.000Z,-137,-137,4074,"rel.5.1h
"
115,2021-07-12T06:00:00.000Z,-58,-137,4080,"rel.5.1h
"
116,2021-07-12T09:00:00.000Z,-57,-91,4064,"rel.5.1h
"
117,2021-07-12T10:00:00.000Z,-57,-137,4062,"rel.5.1h
"
118,2021-07-12T13:00:00.000Z,-57,-137,4062,"rel.5.1h
"
119,2021-07-12T14:00:00.000Z,-56,-137,4062,"rel.5.1h
"
120,2021-07-12T15:00:00.000Z,-57,-137,4076,"rel.5.1h
"
121,2021-07-12T16:00:00.000Z,-58,-137,4080,"rel.5.1h
"
122,2021-07-12T17:00:00.000Z,-57,-137,4080,"rel.5.1h
"
123,2021-07-12T19:00:00.000Z,-137,-137,4064,"rel.5.1h
"
124,2021-07-12T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
125,2021-07-12T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
126,2021-07-12T23:00:00.000Z,-137,-137,4080,"rel.5.1h
"
127,2021-07-13T00:00:00.000Z,-137,-137,4064,"rel.5.1h
"
128,2021-07-13T01:00:00.000Z,-137,-137,4080,"rel.5.1h
"
129,2021-07-13T02:00:00.000Z,-137,-137,4062,"rel.5.1h
"
130,2021-07-13T03:00:00.000Z,-137,-137,4064,"rel.5.1h
"
131,2021-07-13T04:00:00.000Z,-58,-137,4062,"rel.5.1h
"
132,2021-07-13T05:00:00.000Z,-57,-137,4064,"rel.5.1h
"
133,2021-07-13T06:00:00.000Z,-56,-137,4064,"rel.5.1h
"
134,2021-07-13T07:00:00.000Z,-57,-137,4080,"rel.5.1h
"
135,2021-07-13T08:00:00.000Z,-58,-137,4062,"rel.5.1h
"
136,2021-07-13T09:00:00.000Z,-57,-137,4080,"rel.5.1h
"
137,2021-07-13T10:00:00.000Z,-57,-137,4064,"rel.5.1h
"
138,2021-07-13T11:00:00.000Z,-57,-137,4062,"rel.5.1h
"
139,2021-07-13T12:00:00.000Z,-57,-137,4080,"rel.5.1h
"
140,2021-07-13T13:00:00.000Z,-137,-137,4080,"rel.5.1h
"
141,2021-07-13T14:00:00.000Z,-137,-137,4080,"rel.5.1h
"
142,2021-07-13T15:00:00.000Z,-137,-137,4064,"rel.5.1h
"
143,2021-07-13T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
144,2021-07-13T17:00:00.000Z,-137,-137,4064,"rel.5.1h
"
145,2021-07-13T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
146,2021-07-13T19:00:00.000Z,-137,-137,4062,"rel.5.1h
"
147,2021-07-13T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
148,2021-07-13T21:00:00.000Z,-137,-137,4066,"rel.5.1h
"
149,2021-07-13T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
150,2021-07-14T00:00:00.000Z,-137,-137,4062,"rel.5.1h
"
151,2021-07-14T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
152,2021-07-14T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
153,2021-07-14T03:00:00.000Z,-137,-137,4080,"rel.5.1h
"
154,2021-07-14T04:00:00.000Z,-137,-137,4080,"rel.5.1h
"
155,2021-07-14T05:00:00.000Z,-137,-137,4080,"rel.5.1h
"
156,2021-07-14T07:00:00.000Z,-56,-137,4080,"rel.5.1h
"
157,2021-07-14T09:00:00.000Z,-58,-137,4080,"rel.5.1h
"
158,2021-07-14T10:00:00.000Z,-137,-137,4062,"rel.5.1h
"
159,2021-07-14T12:00:00.000Z,-137,-137,4080,"rel.5.1h
"
160,2021-07-14T13:00:00.000Z,-137,-137,4062,"rel.5.1h
"
161,2021-07-14T14:00:00.000Z,-137,-137,4062,"rel.5.1h
"
162,2021-07-14T15:00:00.000Z,-137,-137,4064,"rel.5.1h
"
163,2021-07-14T16:00:00.000Z,-137,-137,4080,"rel.5.1h
"
164,2021-07-14T17:00:00.000Z,-137,-137,4062,"rel.5.1h
"
165,2021-07-14T18:00:00.000Z,-137,-137,4062,"rel.5.1h
"
166,2021-07-14T19:00:00.000Z,-137,-137,4080,"rel.5.1h
"
167,2021-07-14T20:00:00.000Z,-137,-137,4080,"rel.5.1h
"
168,2021-07-14T21:00:00.000Z,-137,-137,4062,"rel.5.1h
"
169,2021-07-14T22:00:00.000Z,-137,-137,4062,"rel.5.1h
"
170,2021-07-14T23:00:00.000Z,-137,-137,4070,"rel.5.1h
"
171,2021-07-15T00:00:00.000Z,-137,-137,4080,"rel.5.1h
"
172,2021-07-15T01:00:00.000Z,-137,-137,4062,"rel.5.1h
"
173,2021-07-15T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
174,2021-07-15T03:00:00.000Z,-137,-137,4080,"rel.5.1h
"
175,2021-07-15T04:00:00.000Z,-137,-137,4080,"rel.5.1h
"
176,2021-07-15T05:00:00.000Z,-137,-137,4080,"rel.5.1h
"
177,2021-07-15T06:00:00.000Z,-137,-137,4062,"rel.5.1h
"
178,2021-07-15T07:00:00.000Z,-137,-137,4080,"rel.5.1h
"
179,2021-07-15T08:00:00.000Z,-137,-137,4064,"rel.5.1h
"
180,2021-07-15T09:00:00.000Z,-137,-137,4064,"rel.5.1h
"
181,2021-07-15T10:00:00.000Z,-137,-137,4064,"rel.5.1h
"
182,2021-07-15T11:00:00.000Z,-137,-137,4080,"rel.5.1h
"
183,2021-07-15T12:00:00.000Z,-137,-137,4064,"rel.5.1h
"
184,2021-07-15T13:00:00.000Z,-137,-137,4066,"rel.5.1h
"
185,2021-07-15T14:00:00.000Z,-137,-137,4080,"rel.5.1h
"
186,2021-07-15T15:00:00.000Z,-137,-137,4064,"rel.5.1h
"
187,2021-07-15T16:00:00.000Z,-137,-137,4064,"rel.5.1h
"
188,2021-07-15T17:00:00.000Z,-137,-137,4062,"rel.5.1h
"
189,2021-07-15T18:00:00.000Z,-137,-137,4080,"rel.5.1h
"
